NOME;VULNERABILIDADE;LOCALIZA??O;UHS MAPEADAS;TIPOLOGIA;TIPO ASSENTAMENTO;ANO OCUPA??O DOCUMENTADO;ANO OCUPA??O ENTREVISTA;ZONEAMENTO;GRAVAMES JUDICIAIS;INTERVEN??O - PROGRAMA;UNIDADES CADASTRADAS;INTERVER??O - ESTAGIO;MANANCIAL;FEI??O MORFOLOGICA;
JARDIM BELAS ARTES;BAIXA;B. COOPERATIVA;null;1;Loteamento Irregular;1998;2001;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;144;AÁıes em andamento;NAO ;FUNDO DE VALE/ COLINA;
JURUBEBA;ALTA;B. RIACHO GRANDE;203;6;Favela;null;1980;MMS / ARA 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JARDIM SENHOR DO BONFIM;BAIXA;B. COOPERATIVA;null;1;Loteamento Irregular;1991;1991;MURE / ARA 1;ACP 1918/05;Sem previs„o de atendimento neste PPA;300;AÁıes em andamento;SIM ;COLINA;
ROBERTAO (VILA MORAES);MUITO ALTA;B. DOS ALVARENGA;307;4;Favela;null;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;SIM ;COLINA;
PARQUE BANDEIRANTES;BAIXA;B. DOS ALVARENGA;null;5;Loteamento Irregular;1986;1992;MMS / ARA 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;271;Sem previs„o de atendimento neste PPA;SIM ;MARGEM DE CORREGO;
PORTO NOVO;BAIXA;B. DOS ALVARENGA;36;5;Loteamento Irregular;1970;1967;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;PLANICIE ALUVIAL;
VILA UNIAO;BAIXA;B. DOS ALVARENGA;276;5;Loteamento Irregular;1985;1985;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORROTE;
JARDIM AMERICA DO SUL;BAIXA;B. DOS ALVARENGA;301;5;Loteamento Irregular;null;1991;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
RUA HOLANDA CAVALCANTI;ALTA;B. FERRAZOPOLIS;321;6;Favela;null;1980;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORRO ALTO;
JARDIM CANTAREIRA;M…DIA;B.DOS ALVARENGA;1110;2;Loteamento Irregular;1985;1990;MURE / ARA 1;ACP 1978/08;ReduÁ„o de Risco e AÁıes Emergenciais;null;PMRR: Recursos Contratados;SIM ;MORRO ALTO/ MARGEM DE CORREGO;
JARDIM SAO JORGE;BAIXA;B.DOS ALVARENGA;1776;5;Loteamento Irregular;1987;1989;MURE / ARA 1;ACP 1512/95;ReduÁ„o de Risco e AÁıes Emergenciais;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO ALTO/ MARGEM DE CORREGO;
JARDIM DAS ORQUIDEAS;BAIXA;B. DOS ALVARENGA;2766;5;Loteamento Irregular;1979;1979;MMS / ARA 1;ACP 1864/95;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
JARDIM MONTE SIAO/ ALVARENGA;BAIXA;B.DOS ALVARENGA;null;1;Loteamento Irregular;1993;1988;MURE / ARA 1;ACP 2363/01;Sem previs„o de atendimento neste PPA;130;AÁıes em andamento;SIM ;MORROTE/ MARGEM DE CORREGO;
JARDIM IPANEMA;BAIXA;B. DOS ALVARENGA;null;1;Loteamento Irregular;1987;1990;MURE / ARA 1;ACP 538/01;RegularizaÁ„o Fundi·ria;1333;AÁıes em andamento;SIM ;COLINA;
VILA DAS VALSAS;NENHUMA;B. BOTUJURU;null;1;Loteamento Irregular;1988;1988;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;328;REGULARIZADO;NAO ;MORRO BAIXO;
JARDIM INDUSTRIAL II;NENHUMA;B. MONTANH√øO;140;1;Favela;null;null;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;REGULARIZADO;NAO ;MORRO BAIXO;
JARDIM LAGO AZUL;BAIXA;B. DOS FINCO;null;1;Loteamento Irregular;1967;1980;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;448;AÁıes em andamento;SIM ;MORRO BAIXO;
PARQUE DAS GARCAS;ALTA;B. DOS ALVARENGA;766;6;Loteamento Irregular;1985;1988;MMS / ARA 1;ACP 1127/93;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO ALTO/ MARGEM DE CORREGO;
CHACARA UNIAO (ACJ LAS PALMAS);BAIXA;B. DOS ALVARENGA;34;6;Loteamento Irregular;1992;1996;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
CENTRO SOC. DOS CABOS E SOLDADOS DA POL. MIL. DO EST. DE SP.;NENHUMA;B. RIO GRANDE;42;1;Loteamento Irregular;null;1995;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;REGULARIZADO;SIM ;MORRO BAIXO;
JARDIM LAURA II/ LOTEAMENTO;ALTA;B. DOS ALVARENGA;364;6;Loteamento Irregular;1985;1997;MMS / ARA 1;ACP 1824/05;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;SIM ;MORRO ALTO;
RECANTO DA AMIZADE;BAIXA;B. DOS ALVARENGA;null;1;Loteamento Irregular;1993;1967;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;100;AÁıes em andamento;SIM ;MORRO BAIXO;
ALTO DA BELA VISTA;MUITO ALTA;B. MONTANH√øO;null;6;Favela;null;1968;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;521;AÁıes em andamento;NAO ;null;
ALVARENGA PEIXOTO;MUITO ALTA;B. DOS CASA;null;8;Favela;1988;1988;MURE / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;270;AÁıes em andamento;SIM ;null;
JORDANOPOLIS (BRASCOLA);ALTA;B. JORDANOPOLIS;22;6;Favela;null;1991;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MARGEM DE CORREGO;
RUA DO PEREQUE;M…DIA;B. CAPIVARI;42;9;Favela;null;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
DIVINEIA-PANTANAL;MUITO ALTA;B. DOS CASA;null;6;Favela;null;1990;MURE / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;762;AÁıes em andamento;SIM ;null;
JARDIM COLINA;MUITO BAIXA;B. MONTANH√ø¬øO;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;212;AÁıes em andamento;NAO ;null;
