NOME;VULNERABILIDADE;LOCALIZA??O;UHS MAPEADAS;TIPOLOGIA;TIPO ASSENTAMENTO;ANO OCUPA??O DOCUMENTADO;ANO OCUPA??O ENTREVISTA;ZONEAMENTO;GRAVAMES JUDICIAIS;INTERVEN??O - PROGRAMA;UNIDADES CADASTRADAS;INTERVER??O - ESTAGIO;MANANCIAL;FEI??O MORFOLOGICA;
PARQUE VENEZA;BAIXA;B. DOS ALVARENGA;null;1;Loteamento Irregular;1995;1994;MURE / ARA 1;ACP 2224/01;Sem previs„o de atendimento neste PPA;594;AÁıes em andamento;SIM ;COLINA;
RUA LUIZ MARSON;ALTA;B. BATISTINI;59;2;Favela Urbanizada;null;1970;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;FUNDO DE VALE;
JARDIM NOSSA SRA FATIMA - B;ALTA;B. DEMARCHI;198;6;Favela;1980;1975;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORROTE;
JARDIM NOSSA SRA FATIMA - A;BAIXA;B. DEMARCHI;14;1;Favela;1980;1970;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;COLINA;
JARDIM NOVA CANAA;BAIXA;B. BATISTINI;null;1;Loteamento Irregular;1990;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;689;AÁıes em andamento;SIM ;COLINA;
JARDIM CASTELO BRANCO;BAIXA;B. DEMARCHI;null;1;Loteamento Irregular;1989;1988;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;176;AÁıes em andamento;SIM ;MORRO BAIXO;
JARDIM PRIMAVERA;BAIXA;B. BAETA NEVES;246;5;Favela Urbanizada;1990;null;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORRO BAIXO;
REGENTE LIMA E SILVA;NENHUMA;B. FERRAZ√øPOLIS;76;1;Favela;null;1970;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;REGULARIZADO;NAO ;MORRO ALTO;
RUA CINTRA;ALTA;B. RIACHO GRANDE;128;6;Favela;1984;1990;MMS / ARA 1;TAC ACP 800/89;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
ANTONIO S. DOS REIS/ JOSE R. DOS REIS;BAIXA;B. BATISTINI;124;5;Loteamento Irregular;null;1990;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO ALTO;
DIVINEIA-PANTANAL/ URBANIZADO ;BAIXA;B. DOS CASA;null;5;Favela Urbanizada;1980;1980;MURE / ARA 1;Nada consta;RegularizaÁ„o Fundi·ria;734;AÁıes em andamento;SIM ;MORRO BAIXO;
BANANAL/ SILVINA AUDI;ALTA;B. MONTANH√øO;null;6;Favela Urbanizada;1995;1985;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;105;AÁıes em andamento;NAO ;MORRO ALTO;
JARDIM DIANA;M…DIA;B. DOS ALVARENGA;67;2;Loteamento Irregular;null;1998;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
RUA ITAMARATI ;NENHUMA;B. BAETA NEVES;null;1;Favela Urbanizada;1985;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;86;REGULARIZADO;NAO ;MORROTE;
PARQUE DAS FLORES II;BAIXA;B. DOS CASA;null;1;Loteamento Irregular;1992;1990;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;172;AÁıes em andamento;SIM ;COLINA;
JOSE TAVARES BASTOS;BAIXA;B. FERRAZOPOLIS;41;1;Favela;null;1971;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;MORRO ALTO;
CAISB I;MUITO BAIXA;B. COOPERATIVA;null;1;Loteamento Irregular;1996;1994;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;133;REGULARIZADO;NAO ;MARGEM DE CORREGO;
VILA FEI-MIZUHO/PARQUE DAS ARVORES;BAIXA;B. COOPERATIVA;null;1;Loteamento Irregular;1990;1990;MURE / ARA 1;ACP 1573/04;Sem previs„o de atendimento neste PPA;498;AÁıes em andamento;SIM ;COLINA;
VILA ESPERANCA;MUITO ALTA;B. MONTANHAO;1306;6;Favela Urbanizada;1990;1965;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;PMRR: AÁıes em andamento;NAO ;MORRO ALTO;
JARDIM VIA ANCHIETA;ALTA;B. ASSUN√ø√øO;197;6;Favela Urbanizada;1987;1980;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;COLINA;
